entity_id,country_name_ja,region,subregion,category,title,body,source_name,source_url
AD,アンドラ,Europe,Southern Europe,国の仕組み,国家元首が二人いる,アンドラは共同公国で、フランス大統領とスペインのウルヘル司教が共同元首を務めます。外国の大使は、正式な着任時に両方の共同元首へ信任状を提出します。,アンドラ政府,https://www.govern.ad/documents/1898932/2635468/210423-01.1_Annex%2B1_angles_Fullet_base.pdf/8f264766-6213-2139-c77a-ca6820435de0?t=1731397104503
AE,アラブ首長国連邦,Asia,Western Asia,国の仕組み,七つの首長国が一つの国をつくる,アブダビ、ドバイ、シャルジャなど七つの首長国からなる連邦国家です。各首長国に統治者と地域政府がありながら、連邦として一つの国を構成しています。,UAE政府,https://u.ae/en/about-the-uae/the-uae-government/political-system-and-government
AF,アフガニスタン,Asia,Southern Asia,暦・時間,政府文書に「1400年代」の年号が現れる,アフガニスタンでは太陽ヒジュラ暦が使われ、政府発表にも1403年、1404年といった年号が現れます。行政文書や締切日は、どの暦で書かれているかの確認が必要です。,アフガニスタン政府,https://www.mohia.gov.af/en/media-invitation
AG,アンティグア・バーブーダ,Americas,Caribbean,国土・行政,国名に出ない三つ目の島がある,憲法上の領土はアンティグア島とバーブーダ島だけではなく、レドンダ島も含みます。国名には二島しか現れませんが、正式な国土は三つの主要な島から成ります。,アンティグア・バーブーダ政府,https://ab.gov.ag/detail_template.php?page=aboutAB%2Four_constitution
AL,アルバニア,Europe,Southern Europe,言語・文字,アルバニア語だけで一つの語派をつくる,アルバニア語はインド・ヨーロッパ語族に属しますが、スラブ語派やロマンス語派などには入りません。アルバニア語だけで独立した一つの語派を形成します。,アルバニア外務省,https://ambasadat.gov.al/nato/en/gjuha-zyrtare-ne-republiken-e-shqiperise-eshte-shqipja/
AM,アルメニア,Asia,Western Asia,言語・文字,405年ごろに作られた独自の文字を使う,アルメニア文字はメスロプ・マシュトツによって西暦405年ごろに作られたと伝えられています。現在も独自のアルファベットとして日常で使われています。,アルメニア観光委員会,https://armenia.travel/about-armenia/history/
AO,アンゴラ,Africa,Middle Africa,国土・行政,本土とつながっていない州がある,北部のカビンダ州はアンゴラ本土と直接つながっていません。両者の間にコンゴ民主共和国の領土があり、カビンダはアンゴラの飛び地になっています。,アンゴラ政府資料,https://c2a.portais.gov.ao/uploads/MP_02_fdba1c341d.pdf
AR,アルゼンチン,Americas,South America,国土・行政,ブエノスアイレス市と同名の州は別の地域,首都ブエノスアイレス市は独立した自治市で、同じ名前のブエノスアイレス州には属しません。市と州にはそれぞれ別の政府があります。,アルゼンチン政府,https://www.argentina.gob.ar/caba
AT,オーストリア,Europe,Western Europe,選挙・制度,16歳から国政選挙で投票できる,オーストリアでは、選挙日に16歳以上であれば国会選挙や大統領選挙などで投票できます。地方選挙や欧州議会選挙も原則16歳からです。,オーストリア議会,https://www.parlament.gv.at/en/services/inquiry-service/faq/elections
AU,オーストラリア,Oceania,Australia and New Zealand,選挙・制度,国政選挙では投票が義務,選挙権を持つ国民は、連邦議会選挙や国民投票で投票することが法律上の義務です。正当な理由なく投票しなかった場合には手続きの対象になります。,オーストラリア選挙管理委員会,https://www.aec.gov.au/faqs/
